No,Judul,Deskripsi,Gambar,Link
1,Hijab Polycotton Premium,Smart TV dengan resolusi HD.,fabeeya-1.png,https://s.shopee.co.id/2qJALU9kQ7
2,Kareema Abaya,Abaya Modern,fashion-KareemaAbaya.jpeg,https://s.shopee.co.id/3Vb25Jhkgh?share_channel_code=1
